repository,LCOM5,WMC,CBO,NOI,RFC,CLOC,DIT,NOA,NOC,NOD,NOP,LOC,LLOC,NM,NLM,NOS,TLOC,TLLOC,TNM,TNLM,TNOS
ludwig-ai_ludwig,2.404494382022472,5.129213483146067,0.599250936329588,0.2247191011235955,2.960674157303371,6.557116104868914,0.5580524344569289,0.5720973782771536,0.5,0.5720973782771536,0.5,48.66385767790262,39.60299625468165,4.057116104868914,2.735955056179775,11.404494382022472,48.68352059925093,39.61329588014981,4.110486891385768,2.752808988764045,11.48314606741573
aleju_imgaug,6.589189189189189,13.074594594594595,0.5891891891891892,0.8443243243243244,9.062702702702705,36.8,0.5318918918918919,0.5318918918918919,0.3643243243243243,0.5318918918918919,0.3643243243243243,137.7816216216216,95.0637837837838,21.410810810810812,8.218378378378379,51.81837837837838,137.7881081081081,95.07027027027029,21.72648648648649,8.284324324324324,51.92648648648649
twitter_the-algorithm-ml,0.9202898550724636,2.5652173913043477,0.1376811594202898,0.1594202898550724,1.2753623188405796,4.594202898550725,0.0507246376811594,0.0507246376811594,0.0507246376811594,0.0507246376811594,0.0507246376811594,24.15942028985507,18.77536231884058,1.210144927536232,1.115942028985507,7.239130434782608,24.18840579710145,18.78985507246377,1.2391304347826086,1.115942028985507,7.239130434782608
SiCKRAGE_SiCKRAGE,1.9415954415954415,9.131054131054132,0.3703703703703703,0.2407407407407407,3.0712250712250713,7.497150997150997,0.2977207977207977,0.2977207977207977,0.2934472934472934,0.2977207977207977,0.2934472934472934,49.49287749287749,38.55555555555556,4.1424501424501425,2.8304843304843303,21.900284900284905,49.774928774928775,38.837606837606835,4.166666666666667,2.8304843304843303,21.900284900284905
jopohl_urh,7.630252100840337,24.92156862745098,0.0756302521008403,0.0504201680672268,10.666666666666666,6.190476190476191,0.0252100840336134,0.0252100840336134,0.0252100840336134,0.0252100840336134,0.0252100840336134,144.84593837535013,118.58823529411764,10.7703081232493,10.61624649859944,91.76470588235294,145.26610644257704,118.9439775910364,10.84593837535014,10.641456582633053,91.94117647058825
unifyai_ivy,7.777158774373259,14.493036211699163,0.245125348189415,0.1643454038997214,9.696378830083566,151.69359331476323,0.3899721448467966,0.3899721448467966,0.2033426183844011,0.3899721448467966,0.2033426183844011,270.8050139275766,258.9442896935933,10.579387186629528,9.532033426183844,23.573816155988855,270.8050139275766,258.9442896935933,10.671309192200557,9.532033426183844,23.573816155988855
jyrkioraskari_IFCtoLBD,3.390138408304498,13.607266435986158,0.7275086505190311,0.5648788927335641,5.283737024221454,21.749134948096884,0.5865051903114187,0.6089965397923875,0.3754325259515571,0.6089965397923875,0.3754325259515571,75.81920415224913,55.99221453287197,13.249134948096886,4.718858131487889,29.657439446366784,76.24221453287197,56.311418685121104,13.42560553633218,4.7854671280276815,29.84083044982699
smicallef_spiderfoot,3.917985611510791,16.005755395683455,0.6302158273381295,0.1928057553956834,5.302158273381295,8.666187050359712,0.0,0.0,0.0,0.0,0.0,106.09640287769784,82.2589928057554,4.9784172661870505,5.109352517985611,50.992805755395686,106.09640287769784,82.2589928057554,5.110791366906475,5.110791366906475,50.99424460431655
intel_dffml,1.6154791154791155,4.125307125307125,0.5171990171990172,0.1179361179361179,2.0823095823095823,6.530712530712531,0.1277641277641277,0.1314496314496314,0.1154791154791154,0.1314496314496314,0.1154791154791154,36.616707616707615,28.963144963144963,2.1867321867321867,1.9643734643734645,11.334152334152334,36.616707616707615,28.963144963144963,2.230958230958231,1.972972972972973,11.342751842751843
CMSgov_bluebutton-web-server,1.2170385395537526,3.342799188640974,0.1987829614604462,0.0730223123732251,1.924949290060852,5.655172413793103,0.0993914807302231,0.0993914807302231,0.0892494929006085,0.0993914807302231,0.0892494929006085,44.393509127789045,35.46653144016227,2.0628803245436105,1.8519269776876268,12.28397565922921,44.95131845841785,36.02434077079108,2.160243407707911,1.8559837728194728,12.290060851926976
saltstack_salt,4.087695133149679,10.787878787878787,0.4678604224058769,0.2520661157024793,5.435720844811754,17.652433425160698,0.2226813590449954,0.2887970615243342,0.226813590449954,0.2887970615243342,0.226813590449954,105.40449954086316,89.38842975206612,6.53030303030303,5.183654729109275,33.00826446280992,105.84297520661156,89.75528007346189,6.749770431588614,5.299816345270891,33.18549127640037
karlproject_karl,2.181616011860638,4.902149740548555,0.4121571534469977,0.0778354336545589,4.184581171237954,1.8858413639733136,0.1097108969607116,0.1104521868050407,0.1037805782060785,0.1104521868050407,0.1037805782060785,44.040770941438105,37.51223128243143,4.349147516679022,4.106745737583395,24.560415122312826,44.040770941438105,37.51223128243143,4.58932542624166,4.178650852483321,24.660489251297257
Rparadise-Team_Koriki,1.7257019438444925,5.0809935205183585,0.519438444924406,0.2840172786177106,2.58963282937365,6.6274298056155505,0.4935205183585313,0.5161987041036717,0.4503239740820734,0.5161987041036717,0.4503239740820734,25.463282937365012,19.49460043196544,4.292656587473002,2.3056155507559395,10.795896328293736,25.503239740820735,19.52375809935205,4.314254859611231,2.308855291576674,10.818574514038875
ietf-tools_datatracker,1.4680377987770985,4.421345191773208,0.1717620900500278,0.1384102279043913,2.095052807115064,5.621456364647026,0.1195108393551973,0.1195108393551973,0.1122846025569761,0.1195108393551973,0.1122846025569761,46.525847693162866,38.449694274597,2.3563090605892163,1.9566425792106723,21.30350194552529,48.672040022234576,40.43857698721512,2.423568649249583,1.971650917176209,21.407448582545857
borgbackup_borg,3.044943820224719,11.0,0.5430711610486891,0.6254681647940075,4.876404494382022,9.071161048689138,0.2921348314606741,0.4007490636704119,0.3071161048689138,0.4007490636704119,0.3071161048689138,76.5505617977528,64.37078651685393,6.99625468164794,4.250936329588015,35.2247191011236,77.05243445692884,64.67415730337079,7.400749063670412,4.348314606741573,35.37078651685393
pytorch_audio,2.127450980392157,5.340336134453781,0.2605042016806723,0.3361344537815126,3.7282913165266103,14.214285714285714,0.0784313725490196,0.0896358543417367,0.088235294117647,0.0896358543417367,0.088235294117647,59.32212885154062,47.01820728291317,3.525210084033614,3.392156862745098,20.393557422969188,59.35294117647059,47.03221288515406,3.5826330532212887,3.392156862745098,20.393557422969188
