repository,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,CD,CLOC,DIT,NOA,NOC,NOD,NOP,LOC,LLOC,NA,NM,NLA,NLM,NOS,TLOC,TLLOC,TNA,TNM,TNLA,TNLM,TNOS
RaRe-Technologies_gensim,4.881533101045296,0.0,0.0,14.787456445993032,0.3519163763066202,0.0,0.0,0.4320557491289198,7.2020905923344944,0.0,57.26132404181185,0.2752613240418118,0.2822299651567944,0.2160278745644599,0.2822299651567944,0.2160278745644599,139.19163763066203,111.53310104529616,0.0,8.616724738675957,0.0,6.770034843205575,50.20209059233449,139.8432055749129,112.06620209059234,0.0,8.794425087108014,0.0,6.843205574912892,50.47386759581882
nicolargo_glances,4.416666666666667,0.0,0.0,23.541666666666668,0.225,0.0,0.0,0.2333333333333333,7.783333333333333,0.0,35.88333333333333,0.0583333333333333,0.0583333333333333,0.0583333333333333,0.0583333333333333,0.0583333333333333,139.25,98.925,0.0,8.425,0.0,7.55,57.225,139.25,98.925,0.0,8.45,0.0,7.55,57.225
Rapptz_discord.py,2.9788838612368025,0.0,0.0,7.46606334841629,0.4404223227752639,0.0,0.0,0.1372549019607843,3.5052790346907994,0.0,24.184012066365007,0.3710407239819004,0.3800904977375565,0.3016591251885369,0.3800904977375565,0.3016591251885369,60.717948717948715,45.45399698340875,0.0,4.171945701357466,0.0,3.368024132730015,14.951734539969834,60.7209653092006,45.457013574660635,0.0,4.254901960784314,0.0,3.3936651583710407,14.971342383107087
jantic_DeOldify,3.2,0.0,0.0,8.135714285714286,0.5785714285714286,0.0,0.0,0.4357142857142857,4.496428571428571,0.0,3.5214285714285714,0.2857142857142857,0.2857142857142857,0.2464285714285714,0.2857142857142857,0.2464285714285714,30.74642857142857,25.90357142857143,0.0,6.460714285714285,0.0,4.060714285714286,17.792857142857144,30.771428571428572,25.925,0.0,6.507142857142857,0.0,4.082142857142857,17.817857142857143
LAION-AI_Open-Assistant,1.4171597633136097,0.0,0.0,4.100591715976331,0.257396449704142,0.0,0.0,0.1449704142011834,1.8136094674556211,0.0,2.6804733727810652,0.1893491124260355,0.1893491124260355,0.1775147928994082,0.1893491124260355,0.1775147928994082,29.109467455621303,23.473372781065088,0.0,1.8727810650887573,0.0,1.668639053254438,10.257396449704142,29.476331360946745,23.76923076923077,0.0,1.9378698224852071,0.0,1.7159763313609468,10.488165680473372
keras-team_keras,4.2109181141439205,0.0,0.0,8.14722911497105,0.2100909842845326,0.0,0.0,0.7369727047146402,5.521091811414392,0.0,16.455748552522746,0.0578990901571546,0.0595533498759305,0.0554177005789909,0.0595533498759305,0.0554177005789909,82.26302729528535,61.23573200992555,0.0,4.894127377998346,0.0,4.784119106699752,27.674937965260547,82.26302729528535,61.23573200992555,0.0,5.1894127377998345,0.0,4.955334987593052,28.010752688172044
lllyasviel_ControlNet,2.6979166666666665,0.0,0.0,9.695833333333333,0.34375,0.0,0.0,0.29375,3.716666666666667,0.0,17.860416666666666,0.1604166666666666,0.1604166666666666,0.1375,0.1604166666666666,0.1375,74.24375,56.516666666666666,0.0,4.64375,0.0,3.4229166666666666,28.339583333333337,74.24375,56.516666666666666,0.0,4.714583333333334,0.0,3.4229166666666666,28.339583333333337
google_jax,6.655097613882863,0.0,0.0,11.154013015184384,0.3731019522776572,0.0,0.0,1.5574837310195229,12.686550976138829,0.0,11.226681127982646,0.1550976138828633,0.1648590021691974,0.1388286334056399,0.1648590021691974,0.1388286334056399,112.97288503253796,90.14316702819956,0.0,8.686550976138829,0.0,11.129067245119304,48.92733188720174,113.0173535791757,90.175704989154,0.0,12.771149674620393,0.0,11.189804772234272,49.01626898047722
httpie_cli,2.305389221556886,0.0,0.0,5.107784431137724,0.3652694610778443,0.0,0.0,0.2215568862275449,3.1137724550898205,0.0,4.874251497005988,0.2574850299401197,0.2634730538922156,0.2395209580838323,0.2634730538922156,0.2395209580838323,37.203592814371255,29.87425149700599,0.0,3.55688622754491,0.0,2.8922155688622753,12.2874251497006,37.203592814371255,29.87425149700599,0.0,3.616766467065869,0.0,2.9161676646706587,12.359281437125748
OpenBB-finance_OpenBBTerminal,5.988593155893536,0.0,0.0,27.73384030418251,0.0646387832699619,0.0,0.0,0.1863117870722433,7.612167300380228,0.0,34.81749049429658,0.0114068441064638,0.0114068441064638,0.0114068441064638,0.0114068441064638,0.0114068441064638,269.106463878327,236.58555133079847,0.0,7.623574144486692,0.0,7.425855513307985,66.96958174904942,269.11406844106466,236.57794676806083,0.0,7.661596958174905,0.0,7.425855513307985,66.96958174904942
