repository,McCC,NL,NLE,NII,NOI,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR,TLLOC,TLOC,TNOS,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL,MI
pytorch_audio,1.6014279714405713,0.0,0.0,0.0,0.5073498530029399,0.0,2.653926921461571,2.1923561528769424,0.0,2.6598068038639227,11.126837463250736,14.506929861402773,6.058378832423352,2.7093658126837465,11.215455690886182,14.60184796304074,6.115497690046199,13.06924298620115,0.8489805861666659,118.75805351744896,0.0090906951658375,6.978419654714475,4.551128818061089,6.597669639858255,27.272085497512265,50.36131576131418
yt-dlp_yt-dlp,4.113026052104209,0.0,0.0,0.0,0.5392785571142285,0.0,0.6707414829659318,0.1270541082164328,0.0,0.7200400801603206,19.00440881763527,21.552905811623248,9.789178356713428,2.365731462925852,20.04228456913828,22.67114228456914,10.4501002004008,23.375961773066717,1.0401638944114635,189.93283516020875,0.0139196514580966,9.653396311291049,7.081196581196581,10.551824175567113,41.75895437428995,35.24916234643259
ddbourgin_numpy-ml,2.1443736730360934,0.0,0.0,0.0,0.3152866242038216,0.0,10.644373673036094,9.926751592356688,0.0,10.64755838641189,10.48832271762208,22.51061571125265,6.916135881104034,2.529723991507431,10.503184713375797,22.528662420382165,6.929936305732484,22.990514764968957,1.3702028266287762,151.03500835552632,0.0146776626055572,10.926578560939795,7.475770925110132,8.390833797529254,44.03298781667191,39.82271872724301
google_jax,1.5698366661578385,0.0,0.0,0.0,0.3920012211876049,0.0,0.954052816363914,0.2608762021065486,0.0,1.1163181193710885,9.90551060906732,11.840329720653337,5.741260876202107,2.009769500839566,12.010227446191422,14.058311708136165,6.895741108227751,14.192872912852463,0.8626409109363541,118.94240102526037,0.0092064530343731,7.05039534277522,4.912937700929708,6.607911168069783,27.619359103122324,19.67400331257899
borgbackup_borg,2.7891737891737893,0.0,0.0,0.0,0.4672364672364672,0.0,1.6666666666666667,0.4491927825261159,0.0,1.8043684710351375,13.640075973409306,15.598290598290598,8.183285849952517,2.592592592592593,14.721747388414055,16.824311490978157,8.952516619183285,17.208267067410127,0.991879361355833,127.73060553182536,0.0113337723275287,8.845704266510813,5.9719462302746935,7.096144751768096,34.001316982586495,29.85127901510431
OpenBB-finance_OpenBBTerminal,3.75398867730314,0.0,0.0,0.0,0.2424086464230571,0.0,3.233144621718991,2.863612969634586,0.0,3.23623262995368,28.957282552753476,33.28255275347401,9.038600102933607,2.029850746268657,28.58620689655172,33.31909418425116,9.06484817292846,13.70939548420326,0.8124108962861132,109.19008989032464,0.008826189803713,6.71932860356463,4.799965391936321,6.066116105017906,26.478569411139407,51.96627397533714
ludwig-ai_ludwig,1.9001040582726327,0.0,0.0,0.0,0.2147069025320846,0.0,1.960110995490808,1.2424557752341312,0.0,1.989247311827957,8.917100242802636,11.542143600416232,4.157821713492889,2.7048213666319807,9.061394380853278,11.72147069025321,4.252514741588623,10.112688842111863,0.6361850624623777,61.0593929405629,0.0062706834122427,5.172842576473514,3.7988062670977367,3.392188496697944,18.81205023672812,50.49977009456013
lllyasviel_Fooocus,2.5695142378559463,0.0,0.0,0.0,0.3249581239530988,0.0,1.6499162479061975,0.7294807370184254,0.0,1.6549413735343383,15.090452261306533,17.798157453936348,8.681742043551088,3.661641541038526,15.127303182579563,17.84170854271357,8.712730318257956,40.835987290923406,1.7212867557102638,557.7598949425052,0.0299453440920778,18.282608695652176,10.454545454545457,30.986660830139176,89.83603227623345,33.29087196019651
lllyasviel_ControlNet,2.892479801118707,0.0,0.0,0.0,0.3064014916096955,0.0,2.705407085146053,2.0540708514605344,0.0,2.7203231821006835,13.982597886886264,17.705407085146053,8.279676817899317,3.632069608452455,14.208825357364825,17.969546302050965,8.454319453076446,27.773573937761128,1.3615439118250554,334.78603907545613,0.0191631794970547,12.532513181019333,7.864674868189807,18.599224393080867,57.48953849116365,53.49374386632016
facebookresearch_detectron2,2.2882703777335984,0.0,0.0,0.0,0.3384691848906561,0.0,4.17544731610338,3.149602385685885,0.0,4.201789264413519,12.9448310139165,17.825049701789265,7.746520874751491,2.5621272365805168,13.300695825049702,18.2162027833002,7.979125248508946,18.932429882498425,1.0800372145493582,160.86464022416902,0.0122861355526489,8.95806745670009,6.10619872379216,8.936924456898295,36.858406657946645,54.95717790994601
